name,type_haut,couleur_haut,type_bas,couleur_bas
lil_uzi_vert_outfit13.jpeg,Inconnu,Inconnu,jean,Grey
lil_uzi_vert_outfit12.jpeg,jacket,Brown,Inconnu,Inconnu
drake_outfit12.jpeg,jacket,Beige,pants,Black
lil_uzi_vert_outfit15.jpeg,polar,Grey,Inconnu,Inconnu
lil_uzi_vert_outfit112.jpeg,shirt,Silver,pants,Silver
drake_outfit111.jpeg,Inconnu,Inconnu,jean,Black
lil_uzi_vert_outfit.jpeg,jacket,Grey,Inconnu,Inconnu
asap_rocky_outfit8.jpeg,Inconnu,Inconnu,pants,Grey
asap_rocky_outfit4.jpeg,Inconnu,Inconnu,skirt,Grey
lil_uzi_vert_outfit114.jpeg,jacket,Black,Inconnu,Inconnu
asap_rocky_outfit9.jpeg,Inconnu,Inconnu,pants,Grey
don_toliver_outfit12.jpeg,dress,Black,Inconnu,Inconnu
